backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
libgguf_cpu,quantize,1_thread,IQ1_S,64,4096,64x4096,1,35.138693,0.029841,,51200,1048576,
libgguf_cpu,dequantize,1_thread,IQ1_S,64,4096,64x4096,10,0.159852,0.320296,6.559664,51200,1048576,
libgguf_cpu,quantize,default,IQ1_S,64,4096,64x4096,1,4.223796,0.248254,,51200,1048576,
libgguf_cpu,dequantize,default,IQ1_S,64,4096,64x4096,10,4.156571,0.012318,0.252270,51200,1048576,
cuda,quantize,,IQ1_M,64,4096,64x4096,3,37.506388,0.027957,,57344,1048576,
cuda,dequantize,,IQ1_M,64,4096,64x4096,100,0.010199,5.622490,102.811243,57344,1048576,
libgguf_cpu,quantize,1_thread,IQ1_M,64,4096,64x4096,1,140.121603,0.007483,,57344,1048576,
libgguf_cpu,dequantize,1_thread,IQ1_M,64,4096,64x4096,10,0.166664,0.344069,6.291553,57344,1048576,
libgguf_cpu,quantize,default,IQ1_M,64,4096,64x4096,1,7.954546,0.131821,,57344,1048576,
libgguf_cpu,dequantize,default,IQ1_M,64,4096,64x4096,10,4.302604,0.013328,0.243707,57344,1048576,
cuda,quantize,,IQ4_NL,64,4096,64x4096,100,0.200591,5.227424,,147456,1048576,
cuda,dequantize,,IQ4_NL,64,4096,64x4096,100,0.009370,15.737705,111.912570,147456,1048576,
libgguf_cpu,quantize,1_thread,IQ4_NL,64,4096,64x4096,5,60.071851,0.017455,,147456,1048576,
libgguf_cpu,dequantize,1_thread,IQ4_NL,64,4096,64x4096,10,0.294966,0.499908,3.554900,147456,1048576,
libgguf_cpu,quantize,default,IQ4_NL,64,4096,64x4096,5,5.006050,0.209462,,147456,1048576,
libgguf_cpu,dequantize,default,IQ4_NL,64,4096,64x4096,10,4.478833,0.032923,0.234118,147456,1048576,
cuda,quantize,,IQ4_XS,64,4096,64x4096,100,1.699471,0.617002,,139264,1048576,
cuda,dequantize,,IQ4_XS,64,4096,64x4096,100,0.008417,16.545013,124.574213,139264,1048576,
libgguf_cpu,quantize,1_thread,IQ4_XS,64,4096,64x4096,5,61.327326,0.017098,,139264,1048576,
libgguf_cpu,dequantize,1_thread,IQ4_XS,64,4096,64x4096,10,0.333313,0.417817,3.145919,139264,1048576,
libgguf_cpu,quantize,default,IQ4_XS,64,4096,64x4096,5,4.793769,0.218737,,139264,1048576,
libgguf_cpu,dequantize,default,IQ4_XS,64,4096,64x4096,10,4.232602,0.032903,0.247738,139264,1048576,
cuda,quantize,,MXFP4,64,4096,64x4096,100,0.010967,95.611577,,139264,1048576,
cuda,dequantize,,MXFP4,64,4096,64x4096,100,0.009411,14.798694,111.425461,139264,1048576,
libgguf_cpu,quantize,1_thread,MXFP4,64,4096,64x4096,5,0.862799,1.215319,,139264,1048576,
libgguf_cpu,dequantize,1_thread,MXFP4,64,4096,64x4096,10,0.343659,0.405239,3.051210,139264,1048576,
libgguf_cpu,quantize,default,MXFP4,64,4096,64x4096,5,3.935224,0.266459,,139264,1048576,
libgguf_cpu,dequantize,default,MXFP4,64,4096,64x4096,10,3.998470,0.034829,0.262244,139264,1048576,
cuda,quantize,,NVFP4,64,4096,64x4096,100,0.021176,49.516443,,147456,1048576,
cuda,dequantize,,NVFP4,64,4096,64x4096,100,0.010509,14.030815,99.774682,147456,1048576,
libgguf_cpu,quantize,1_thread,NVFP4,64,4096,64x4096,5,0.977041,1.073216,,147456,1048576,
libgguf_cpu,dequantize,1_thread,NVFP4,64,4096,64x4096,10,0.333786,0.441768,3.141461,147456,1048576,
libgguf_cpu,quantize,default,NVFP4,64,4096,64x4096,5,4.111087,0.255061,,147456,1048576,
libgguf_cpu,dequantize,default,NVFP4,64,4096,64x4096,10,4.219506,0.034946,0.248507,147456,1048576,
cuda,quantize,,Q1_0,64,4096,64x4096,100,0.036188,28.975666,,36864,1048576,
cuda,dequantize,,Q1_0,64,4096,64x4096,100,0.009421,3.913043,111.304345,36864,1048576,
libgguf_cpu,quantize,1_thread,Q1_0,64,4096,64x4096,5,0.340064,3.083467,,36864,1048576,
libgguf_cpu,dequantize,1_thread,Q1_0,64,4096,64x4096,10,0.386009,0.095500,2.716456,36864,1048576,
libgguf_cpu,quantize,default,Q1_0,64,4096,64x4096,5,3.961032,0.264723,,36864,1048576,
libgguf_cpu,dequantize,default,Q1_0,64,4096,64x4096,10,4.534470,0.008130,0.231246,36864,1048576,
cuda,quantize,,Q2_K,64,4096,64x4096,100,0.162058,6.470365,,86016,1048576,
cuda,dequantize,,Q2_K,64,4096,64x4096,100,0.013599,6.325301,77.108435,86016,1048576,
libgguf_cpu,quantize,1_thread,Q2_K,64,4096,64x4096,5,15.352502,0.068300,,86016,1048576,
libgguf_cpu,dequantize,1_thread,Q2_K,64,4096,64x4096,10,0.283739,0.303151,3.695560,86016,1048576,
libgguf_cpu,quantize,default,Q2_K,64,4096,64x4096,5,4.031803,0.260076,,86016,1048576,
libgguf_cpu,dequantize,default,Q2_K,64,4096,64x4096,10,4.034622,0.021319,0.259894,86016,1048576,
cuda,quantize,,Q3_K,64,4096,64x4096,100,0.149790,7.000288,,112640,1048576,
cuda,dequantize,,Q3_K,64,4096,64x4096,100,0.009411,11.969532,111.425461,112640,1048576,
libgguf_cpu,quantize,1_thread,Q3_K,64,4096,64x4096,5,1.510378,0.694248,,112640,1048576,
libgguf_cpu,dequantize,1_thread,Q3_K,64,4096,64x4096,10,0.360983,0.312037,2.904780,112640,1048576,
libgguf_cpu,quantize,default,Q3_K,64,4096,64x4096,5,4.362093,0.240384,,112640,1048576,
libgguf_cpu,dequantize,default,Q3_K,64,4096,64x4096,10,4.443001,0.025352,0.236006,112640,1048576,
cuda,quantize,,Q4_0,64,4096,64x4096,100,0.008645,121.286601,,147456,1048576,
cuda,dequantize,,Q4_0,64,4096,64x4096,100,0.009933,14.845361,105.567011,147456,1048576,
libgguf_cpu,quantize,1_thread,Q4_0,64,4096,64x4096,5,0.217667,4.817345,,147456,1048576,
libgguf_cpu,dequantize,1_thread,Q4_0,64,4096,64x4096,10,0.053094,2.777279,19.749538,147456,1048576,
libgguf_cpu,quantize,default,Q4_0,64,4096,64x4096,5,3.986318,0.263044,,147456,1048576,
libgguf_cpu,dequantize,default,Q4_0,64,4096,64x4096,10,4.019838,0.036682,0.260850,147456,1048576,
cuda,quantize,,Q4_1,64,4096,64x4096,100,0.008491,123.499038,,163840,1048576,
cuda,dequantize,,Q4_1,64,4096,64x4096,100,0.009472,17.297297,110.702703,163840,1048576,
libgguf_cpu,quantize,1_thread,Q4_1,64,4096,64x4096,5,0.230055,4.557939,,163840,1048576,
libgguf_cpu,dequantize,1_thread,Q4_1,64,4096,64x4096,10,0.061519,2.663255,17.044834,163840,1048576,
libgguf_cpu,quantize,default,Q4_1,64,4096,64x4096,5,4.330086,0.242161,,163840,1048576,
libgguf_cpu,dequantize,default,Q4_1,64,4096,64x4096,10,4.248099,0.038568,0.246834,163840,1048576,
cuda,quantize,,Q4_K,64,4096,64x4096,100,0.201838,5.195143,,147456,1048576,
cuda,dequantize,,Q4_K,64,4096,64x4096,100,0.008335,17.690417,125.798521,147456,1048576,
libgguf_cpu,quantize,1_thread,Q4_K,64,4096,64x4096,5,15.864499,0.066096,,147456,1048576,
libgguf_cpu,dequantize,1_thread,Q4_K,64,4096,64x4096,10,0.092983,1.585847,11.277133,147456,1048576,
libgguf_cpu,quantize,default,Q4_K,64,4096,64x4096,5,4.395713,0.238545,,147456,1048576,
libgguf_cpu,dequantize,default,Q4_K,64,4096,64x4096,10,4.334026,0.034023,0.241940,147456,1048576,
cuda,quantize,,Q5_0,64,4096,64x4096,100,0.015572,67.337965,,180224,1048576,
